Stage,Subject,Entropy_Mean,Entropy_Std,Entropy_Max,Epistemic_Mean,Epistemic_Std,Epistemic_Max,Aleatoric_Mean,Aleatoric_Std,Aleatoric_Max
Pretrain,D1-014,0.38828084,0.18400034,0.99999905,0.00018327082,0.00037450864,0.008113501,0.0066000433,0.018669944,0.17109592
Pretrain,D1-021,0.39563623,0.1996485,0.99999815,7.001202e-05,0.00013030878,0.0027034003,0.0059567927,0.016547553,0.13884817
Pretrain,D1-001,0.38288784,0.19477177,0.9999988,5.486216e-05,0.00010080263,0.0020650267,0.00773267,0.02096785,0.15440083
Pretrain,D2-010,0.48204938,0.15169461,0.9999963,0.00016710714,0.00033440616,0.012232664,0.006219961,0.015375897,0.1884699
Pretrain,D2-024,0.44577745,0.15433474,0.9999991,0.00010072539,0.00028273812,0.013690605,0.001673905,0.0047087506,0.105240814
Pretrain,D2-045,0.4615672,0.1660069,0.99997133,0.00010650788,0.00025909883,0.009564169,0.0062306602,0.015367007,0.18798165
Pretrain,D2-057,0.3994654,0.14062792,0.99999607,4.359981e-05,0.00010990806,0.0061718193,0.0029425316,0.010305313,0.1778505
Pretrain,D2-065,0.41147843,0.15349181,0.99999416,0.000100694335,0.00025698123,0.012196384,0.0047300477,0.014231431,0.18171045
Finetune,D1-014,0.59226626,0.09395627,0.99015814,9.352527e-05,0.00015358465,0.0036927473,0.0035570015,0.010037229,0.10707308
Finetune,D1-021,0.62404144,0.07568498,0.9546224,0.0002801242,0.00060168887,0.01663388,0.0029396983,0.005914203,0.090154454
Finetune,D1-001,0.60380423,0.0719004,0.9079744,0.00017797531,0.00034733833,0.009297367,0.0019607146,0.0028255444,0.03379211
Finetune,D2-010,0.6105673,0.06896067,0.9762854,0.00018728076,0.00041305495,0.01677302,0.0017053069,0.0034394115,0.073684394
Finetune,D2-024,0.626272,0.0732544,0.95599395,0.00020305379,0.0003804565,0.017636307,0.0020675273,0.0033366892,0.067871094
Finetune,D2-045,0.6070278,0.056522172,0.963701,7.678234e-05,0.00020581552,0.011422488,0.001192591,0.0022354089,0.0631556
Finetune,D2-057,0.58892405,0.056943957,0.9459616,6.430004e-05,0.0001436369,0.0061297514,0.0005723272,0.0009782322,0.045901254
Finetune,D2-065,0.59331906,0.054812092,0.9611292,0.00010897193,0.0002467243,0.012738235,0.0007877396,0.0011952645,0.050668724
